Name,Abbr Name,ISSN,EISSN,JIF,JIF5Years,Domain,Area,Rank,Normalized Journal,Journal_Abbreviation,Acronym_Candidate
Journal of the American Nutrition Association,J AM NUTR ASSOC,2769-7061,2769-707X,6.8,8.7,NUTRITION & DIETETICS,Q1,8/114,journal of the american nutrition association,,
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,BRIT J EDUC TECHNOL,0007-1013,1467-8535,6.7,7.2,EDUCATION & EDUCATIONAL RESEARCH,Q1,6/756,british journal of educational technology,,
Smart Learning Environments,SMART LEARN ENVIRON,,2196-7091,6.7,,EDUCATION & EDUCATIONAL RESEARCH,Q1,6/756,smart learning environments,,
npj Parkinsons Disease,NPJ PARKINSONS DIS,,2373-8057,6.7,7.3,NEUROSCIENCES,Q1,27/310,npj parkinsons disease,,
European Heart Journal-Cardiovascular Imaging,EUR HEART J-CARD IMG,2047-2404,2047-2412,6.7,6.6,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q1,12/204,european heart journal cardiovascular imaging,,
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,0305-0483,1873-5274,6.7,7.0,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Q1,9/106,omega international journal of management science,,
GASTROINTESTINAL ENDOSCOPY,GASTROINTEST ENDOSC,0016-5107,1097-6779,6.7,7.1,GASTROENTEROLOGY & HEPATOLOGY,Q1,17/143,gastrointestinal endoscopy,,
JOURNAL OF CARDIAC FAILURE,J CARD FAIL,1071-9164,1532-8414,6.7,5.8,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,25/220,journal of cardiac failure,,
R & D MANAGEMENT,R&D MANAGE,0033-6807,1467-9310,6.7,7.1,MANAGEMENT,Q1,52/401,r and d management,,
MEDICAL JOURNAL OF AUSTRALIA,MED J AUSTRALIA,0025-729X,1326-5377,6.7,8.2,"MEDICINE, GENERAL & INTERNAL",Q1,25/325,medical journal of australia,,
CLINICAL SCIENCE,CLIN SCI,0143-5221,1470-8736,6.7,6.1,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,24/189,clinical science,,
TRANSACTIONS OF TIANJIN UNIVERSITY,T TIANJIN U,1006-4982,1995-8196,6.7,,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,90/438,transactions of tianjin university,,
FERTILITY AND STERILITY,FERTIL STERIL,0015-0282,1556-5653,6.6,7.5,REPRODUCTIVE BIOLOGY,Q1,3/39,fertility and sterility,,
Journal of Knowledge Management,J KNOWL MANAG,1367-3270,1758-7484,6.6,8.5,MANAGEMENT,Q1,54/401,journal of knowledge management,,
Health Psychology Review,HEALTH PSYCHOL REV,1743-7199,1743-7202,6.6,9.1,"PSYCHOLOGY, CLINICAL",Q1,5/180,health psychology review,,
Journal of Behavioral Addictions,J BEHAV ADDICT,2062-5871,2063-5303,6.6,7.3,PSYCHIATRY,Q1,17/276,journal of behavioral addictions,,
CLINICAL NUTRITION,CLIN NUTR,0261-5614,1532-1983,6.6,6.7,NUTRITION & DIETETICS,Q1,10/114,clinical nutrition,,
Evidence-Based Mental Health,EVID-BASED MENT HEAL,1362-0347,1468-960X,6.6,11.9,PSYCHIATRY,Q1,17/276,evidence based mental health,,
Current Opinion in Environmental Sustainability,CURR OPIN ENV SUST,1877-3435,1877-3443,6.6,8.7,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Q2,25/91,current opinion in environmental sustainability,,
SOCIOLOGICAL METHODS & RESEARCH,SOCIOL METHOD RES,0049-1241,1552-8294,6.5,6.0,SOCIOLOGY,Q1,5/217,sociological methods and research,,
Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,1941-9651,1942-0080,6.5,8.2,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q1,13/204,circulation cardiovascular imaging,,
HABITAT INTERNATIONAL,HABITAT INT,0197-3975,1873-5428,6.5,7.1,URBAN STUDIES,Q1,4/77,habitat international,,HABITAT
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,0021-9630,1469-7610,6.5,8.0,"PSYCHOLOGY, DEVELOPMENTAL",Q1,4/91,journal of child psychology and psychiatry,,
Deutsches Arzteblatt International,DTSCH ARZTEBL INT,1866-0452,1866-0452,6.5,7.8,"MEDICINE, GENERAL & INTERNAL",Q1,26/325,deutsches arzteblatt international,,
STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,0143-2095,1097-0266,6.5,12.0,MANAGEMENT,Q1,55/401,strategic management journal,,STRATEGIC
SMALL BUSINESS ECONOMICS,SMALL BUS ECON,0921-898X,1573-0913,6.5,7.6,MANAGEMENT,Q1,55/401,small business economics,,SMALL
Internet and Higher Education,INTERNET HIGH EDUC,1096-7516,1873-5525,6.4,8.0,EDUCATION & EDUCATIONAL RESEARCH,Q1,8/756,internet and higher education,,
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,J PERS SOC PSYCHOL,0022-3514,1939-1315,6.4,7.3,"PSYCHOLOGY, SOCIAL",Q1,4/76,journal of personality and social psychology,,
Translational Research,TRANSL RES,1931-5244,1878-1810,6.4,7.2,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,26/189,translational research,,
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,1053-2498,1557-3117,6.4,7.7,TRANSPLANTATION,Q1,2/31,journal of heart and lung transplantation,,
Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,1674-7348,1869-1927,6.4,4.9,"PHYSICS, MULTIDISCIPLINARY",Q1,12/110,science china physics mechanics and astronomy,,
International Review of Sport and Exercise Psychology,INT REV SPORT EXER P,1750-984X,1750-9858,6.4,9.2,"PSYCHOLOGY, APPLIED",Q1,9/113,international review of sport and exercise psychology,,
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,1383-5742,1388-2139,6.4,6.4,TOXICOLOGY,Q1,7/106,mutation research reviews in mutation research,,
Annual Review of Criminology,ANNU REV CRIMINOL,2572-4568,2572-4568,6.3,8.5,CRIMINOLOGY & PENOLOGY,Q1,1/113,annual review of criminology,,
PROGRESS IN HUMAN GEOGRAPHY,PROG HUM GEOG,0309-1325,1477-0288,6.3,8.3,GEOGRAPHY,Q1,6/171,progress in human geography,,
Burns & Trauma,BURNS TRAUMA,2321-3868,2321-3876,6.3,6.7,SURGERY,Q1,9/290,burns and trauma,,
Borsa Istanbul Review,BORSA ISTANB REV,2214-8450,2214-8469,6.3,6.5,ECONOMICS,Q1,28/597,borsa istanbul review,,
Information Technology & Tourism,INF TECHNOL TOUR,1098-3058,1943-4294,6.3,6.9,"HOSPITALITY, LEISURE, SPORT & TOURISM",Q1,16/139,information technology and tourism,,
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,J HEALTH SOC BEHAV,0022-1465,2150-6000,6.3,7.2,SOCIOLOGY,Q1,6/217,journal of health and social behavior,,
Research in International Business and Finance,RES INT BUS FINANC,0275-5319,1878-3384,6.3,5.8,"BUSINESS, FINANCE",Q1,11/231,research in international business and finance,,
CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,0008-1256,2162-8564,6.3,17.3,MANAGEMENT,Q1,58/401,california management review,,
JCI Insight,JCI INSIGHT,,2379-3708,6.3,7.5,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,27/189,jci insight,,JCI
American Economic Journal-Macroeconomics,AM ECON J-MACROECON,1945-7707,1945-7715,6.3,7.0,ECONOMICS,Q1,28/597,american economic journal macroeconomics,,
Transport Policy,TRANSPORT POLICY,0967-070X,1879-310X,6.3,5.9,TRANSPORTATION,Q1,6/57,transport policy,,
International Journal of Stroke,INT J STROKE,1747-4930,1747-4949,6.3,6.3,PERIPHERAL VASCULAR DISEASE,Q1,7/96,international journal of stroke,,
Journal of Language Identity and Education,J LANG IDENTITY EDUC,1534-8458,1532-7701,1.5,2.1,LINGUISTICS,Q2,81/297,journal of language identity and education,,
EUROPEAN JOURNAL OF MIGRATION AND LAW,EUR J MIGR LAW,1388-364X,1571-8166,1.5,1.3,LAW,Q1,62/421,european journal of migration and law,,
CRITIQUE OF ANTHROPOLOGY,CRIT ANTHROPOL,0308-275X,1460-3721,1.5,1.8,ANTHROPOLOGY,Q2,37/139,critique of anthropology,,
FOREIGN LANGUAGE ANNALS,FOREIGN LANG ANN,0015-718X,1944-9720,1.5,2.7,LINGUISTICS,Q2,81/297,foreign language annals,,FOREIGN
International Journal of Applied Linguistics,INT J APPL LINGUIST,0802-6106,1473-4192,1.5,1.9,LINGUISTICS,Q2,81/297,international journal of applied linguistics,,
Journal of Industrial and Business Economics,J IND BUS ECON,0391-2078,1972-4977,1.5,,ECONOMICS,Q2,287/597,journal of industrial and business economics,,
Reading & Writing Quarterly,READ WRIT Q,1057-3569,1521-0693,1.5,1.8,"EDUCATION, SPECIAL",Q2,28/62,reading and writing quarterly,,
Economic and Political Studies-EPS,ECON POLIT STUD-EPS,2095-4816,2470-4024,1.5,1.8,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,90/263,economic and political studies eps,,
International Journal of Developmental Disabilities,INT J DEV DISABIL,2047-3869,2047-3877,1.5,1.8,REHABILITATION,Q3,87/169,international journal of developmental disabilities,,
Journal of Intellectual Disabilities,J INTELLECT DISABILI,1744-6295,1744-6309,1.5,1.9,REHABILITATION,Q3,87/169,journal of intellectual disabilities,,
JOURNAL OF SOCIOLINGUISTICS,J SOCIOLING,1360-6441,1467-9841,1.5,2.1,LINGUISTICS,Q2,81/297,journal of sociolinguistics,,
Media International Australia,MEDIA INT AUST,1329-878X,2200-467X,1.5,2.1,COMMUNICATION,Q2,91/227,media international australia,,
Open House International,OPEN HOUSE INT,0168-2601,2633-9838,1.5,1.0,URBAN STUDIES,Q3,48/77,open house international,,
Journal for Cultural Research,J CULT RES,1479-7585,1740-1666,1.5,1.3,CULTURAL STUDIES,Q1,12/59,journal for cultural research,,
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,1053-8151,2154-3992,1.5,1.9,REHABILITATION,Q3,87/169,journal of early intervention,,
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,BIOACOUSTICS,0952-4622,2165-0586,1.5,1.8,ZOOLOGY,Q2,58/180,bioacoustics the international journal of animal sound and its recording,,BIOACOUSTICS
Classroom Discourse,CLASSR DISCOURSE,1946-3014,1946-3022,1.5,2.2,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,classroom discourse,,
Quarterly Journal of Political Science,Q J POLIT SCI,1554-0626,1554-0634,1.5,2.3,POLITICAL SCIENCE,Q2,133/317,quarterly journal of political science,,
AUSTRALIAN JOURNAL OF EDUCATION,AUST J EDUC,0004-9441,2050-5884,1.5,2.4,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,australian journal of education,,
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,1368-2822,1460-6984,1.5,2.5,REHABILITATION,Q3,87/169,international journal of language and communication disorders,,
Asian-Pacific Journal of Second and Foreign Language Education,ASIAN-PAC J SEC FOR,,2363-5169,1.5,1.7,LINGUISTICS,Q2,81/297,asian pacific journal of second and foreign language education,,
International Journal of Research & Method in Education,INT J RES METHOD EDU,1743-727X,1743-7288,1.5,2.3,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,international journal of research and method in education,,
International Peacekeeping,INT PEACEKEEPING,1353-3312,1743-906X,1.5,2.2,INTERNATIONAL RELATIONS,Q2,66/165,international peacekeeping,,
Teoria de la Educacion,TEOR EDUC,1130-3743,2386-5660,1.5,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,teoria de la educacion,,
Asian Journal of Communication,ASIAN J COMMUN,0129-2986,1742-0911,1.5,2.4,COMMUNICATION,Q2,91/227,asian journal of communication,,
International Review of Victimology,INT REV VICT,0269-7580,2047-9433,1.5,1.8,CRIMINOLOGY & PENOLOGY,Q2,46/113,international review of victimology,,
Language Learning and Development,LANG LEARN DEV,1547-5441,1547-3341,1.5,1.7,"PSYCHOLOGY, EXPERIMENTAL",Q4,75/99,language learning and development,,
ZOOLOGICAL STUDIES,ZOOL STUD,1021-5506,1810-522X,1.5,1.5,ZOOLOGY,Q2,58/180,zoological studies,,
Cogent Education,COGENT EDUC,2331-186X,2331-186X,1.5,1.6,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,cogent education,,
INTERNATIONAL INTERACTIONS,INT INTERACT,0305-0629,1547-7444,1.5,1.8,INTERNATIONAL RELATIONS,Q2,66/165,international interactions,,
Journal of International Education in Business,J INT EDUC BUS,2046-469X,1836-3261,1.5,1.7,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,journal of international education in business,,
JOURNAL OF ORTHOPAEDIC SCIENCE,J ORTHOP SCI,0949-2658,1436-2023,1.5,1.7,ORTHOPEDICS,Q3,76/136,journal of orthopaedic science,,
WOMENS STUDIES INTERNATIONAL FORUM,WOMEN STUD INT FORUM,0277-5395,1879-243X,1.5,2.0,WOMENS STUDIES,Q2,27/66,womens studies international forum,,
Journal of Veterinary Cardiology,J VET CARDIOL,1760-2734,1875-0834,1.5,1.7,VETERINARY SCIENCES,Q2,66/167,journal of veterinary cardiology,,
POLITICAL RESEARCH QUARTERLY,POLIT RES QUART,1065-9129,1938-274X,1.5,2.4,POLITICAL SCIENCE,Q2,133/317,political research quarterly,,
Journal of Veterinary Science,J VET SCI,1229-845X,1976-555X,1.5,1.5,VETERINARY SCIENCES,Q2,66/167,journal of veterinary science,,
MEDICINE SCIENCE AND THE LAW,MED SCI LAW,0025-8024,2042-1818,1.5,1.4,"MEDICINE, LEGAL",Q2,10/23,medicine science and the law,,
EVALUATION AND PROGRAM PLANNING,EVAL PROGRAM PLANN,0149-7189,1873-7870,1.5,1.6,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,90/263,evaluation and program planning,,
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,J DEV PHYS DISABIL,1056-263X,1573-3580,1.5,1.7,REHABILITATION,Q3,87/169,journal of developmental and physical disabilities,,
Journal of Statistics and Data Science Education,J STAT DATA SCI EDUC,,2693-9169,1.5,1.6,"EDUCATION, SCIENTIFIC DISCIPLINES",Q2,42/85,journal of statistics and data science education,,
Journal of Criminology,J CRIMINOL-UK,2633-8076,2633-8084,1.5,1.7,CRIMINOLOGY & PENOLOGY,Q2,46/113,journal of criminology,,
JOURNAL OF FORENSIC SCIENCES,J FORENSIC SCI,0022-1198,1556-4029,1.5,1.6,"MEDICINE, LEGAL",Q2,10/23,journal of forensic sciences,,
SOCIAL SERVICE REVIEW,SOC SERV REV,0037-7961,1537-5404,1.5,2.1,SOCIAL WORK,Q2,30/91,social service review,,
AMERICAN JOURNAL OF PERINATOLOGY,AM J PERINAT,0735-1631,1098-8785,1.5,1.7,PEDIATRICS,Q2,86/186,american journal of perinatology,,
CARNETS DE GEOLOGIE,CARNETS GEOL,1634-0744,1765-2553,1.5,1.1,PALEONTOLOGY,Q2,26/56,carnets de geologie,,CARNETS
Journal of Adventure Education and Outdoor Learning,J ADVENTURE EDUC OUT,1472-9679,1754-0402,1.5,2.1,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,journal of adventure education and outdoor learning,,
QUALITY ASSURANCE IN EDUCATION,QUAL ASSUR EDUC,0968-4883,1758-7662,1.5,1.6,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,quality assurance in education,,
Zeitschrift fur Erziehungswissenschaft,Z ERZIEHWISS,1434-663X,1862-5215,1.5,1.5,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,zeitschrift fur erziehungswissenschaft,,
Economic and Labour Relations Review,ECON LABOUR RELAT RE,1035-3046,1838-2673,1.5,1.9,INDUSTRIAL RELATIONS & LABOR,Q3,26/49,economic and labour relations review,,
Journal of Social Work,J SOC WORK,1468-0173,1741-296X,1.5,2.0,SOCIAL WORK,Q2,30/91,journal of social work,,
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,PHYS OCCUP THER PEDI,0194-2638,1541-3144,1.5,2.3,REHABILITATION,Q3,87/169,physical and occupational therapy in pediatrics,,
International Relations,INT RELAT,0047-1178,1741-2862,1.5,2.1,INTERNATIONAL RELATIONS,Q2,66/165,international relations,,
STATISTICA SINICA,STAT SINICA,1017-0405,1996-8507,1.5,1.5,STATISTICS & PROBABILITY,Q2,43/168,statistica sinica,,
GMS Journal for Medical Education,GMS J MED EDU,2366-5017,2366-5017,1.5,1.5,"EDUCATION, SCIENTIFIC DISCIPLINES",Q2,42/85,gms journal for medical education,,GMS
International Journal of Mentoring and Coaching in Education,INT J MENT COACH EDU,2046-6854,2046-6854,1.5,1.9,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,international journal of mentoring and coaching in education,,
Local and Regional Anesthesia,LOCAL REG ANESTH,1178-7112,1178-7112,1.5,3.8,ANESTHESIOLOGY,Q3,35/64,local and regional anesthesia,,
Physiotherapy Research International,PHYSIOTHER RES INT,1358-2267,1471-2865,1.5,1.9,REHABILITATION,Q3,87/169,physiotherapy research international,,
Educational Philosophy and Theory,EDUC PHILOS THEORY,0013-1857,1469-5812,1.5,1.8,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,educational philosophy and theory,,
CULTURE MEDICINE AND PSYCHIATRY,CULT MED PSYCHIAT,0165-005X,1573-076X,1.5,1.9,"SOCIAL SCIENCES, BIOMEDICAL",Q3,30/46,culture medicine and psychiatry,,
Journal of International Students,J INT STUDENTS,2162-3104,2166-3750,1.5,1.8,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,journal of international students,,
Journal of School Nursing,J SCH NURS,1059-8405,1546-8364,1.5,2.1,NURSING,Q3,99/191,journal of school nursing,,
Statistics and Public Policy,STAT PUBLIC POLICY,2330-443X,2330-443X,1.5,1.8,"SOCIAL SCIENCES, MATHEMATICAL METHODS",Q2,31/67,statistics and public policy,,
International Journal for Research in Vocational Education and Training-IJRVET,INT J RES VOCAT EDUC,2197-8638,2197-8646,1.5,,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,international journal for research in vocational education and training ijrvet,,
Rehabilitation Research and Practice,REHABIL RES PRACT,2090-2867,2090-2875,1.5,2.0,REHABILITATION,Q3,87/169,rehabilitation research and practice,,
ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery,ORL J OTO-RHINO-LARY,0301-1569,1423-0275,1.5,1.4,OTORHINOLARYNGOLOGY,Q2,31/65,orl journal for oto rhino laryngology head and neck surgery,,ORL
Translational Pediatrics,TRANSL PEDIATR,2224-4336,2224-4344,1.5,2.2,PEDIATRICS,Q2,86/186,translational pediatrics,,
Violence and Gender,VIOLENCE GEND,2326-7836,2326-7852,1.5,2.0,CRIMINOLOGY & PENOLOGY,Q2,46/113,violence and gender,,
Arthroplasty Today,ARTHROPLAST TODAY,2352-3441,2352-3441,1.5,,ORTHOPEDICS,Q3,76/136,arthroplasty today,,
ARTS IN PSYCHOTHERAPY,ART PSYCHOTHER,0197-4556,1873-5878,1.5,1.8,REHABILITATION,Q3,87/169,arts in psychotherapy,,
Asia-Pacific Journal of Sport Medicine Arthroscopy Rehabilitation and Technology,ASIA-PAC J SPORT MED,2214-6873,2214-6873,1.5,1.6,SPORT SCIENCES,Q3,76/127,asia pacific journal of sport medicine arthroscopy rehabilitation and technology,,
International Journal for Academic Development,INT J ACAD DEV,1360-144X,1470-1324,1.5,2.2,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,international journal for academic development,,
SIMULATION & GAMING,SIMULAT GAMING,1046-8781,1552-826X,1.5,2.4,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,simulation and gaming,,
Brazilian Oral Research,BRAZ ORAL RES,1807-3107,1807-3107,1.5,2.2,"DENTISTRY, ORAL SURGERY & MEDICINE",Q3,89/157,brazilian oral research,,
Childhood Obesity,CHILD OBES,2153-2168,2153-2176,1.5,3.0,PEDIATRICS,Q2,86/186,childhood obesity,,
Journal of Education and Work,J EDUC WORK,1363-9080,1469-9435,1.5,1.9,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,journal of education and work,,
JOURNAL OF GERONTOLOGICAL SOCIAL WORK,J GERONTOL SOC WORK,1540-4048,0163-4372,1.5,2.3,SOCIAL WORK,Q2,30/91,journal of gerontological social work,,
Clinical Cosmetic and Investigational Dentistry,CLIN COSMET INV DENT,1179-1357,1179-1357,1.5,1.7,"DENTISTRY, ORAL SURGERY & MEDICINE",Q3,89/157,clinical cosmetic and investigational dentistry,,
Journal of Community Practice,J COMMUNITY PRACT,1070-5422,1543-3706,1.5,1.6,SOCIAL WORK,Q2,30/91,journal of community practice,,
Journal of Geriatric Physical Therapy,J GERIATR PHYS THER,1539-8412,2152-0895,1.5,3.0,REHABILITATION,Q3,87/169,journal of geriatric physical therapy,,
JOURNAL OF NEUROSCIENCE NURSING,J NEUROSCI NURS,0888-0395,1945-2810,1.5,1.6,NURSING,Q3,99/191,journal of neuroscience nursing,,
PROBATION JOURNAL,PROBAT J,0264-5505,1741-3079,1.5,1.3,CRIMINOLOGY & PENOLOGY,Q2,46/113,probation journal,,
SYMBOLIC INTERACTION,SYMB INTERACT,0195-6086,1533-8665,1.5,1.8,SOCIOLOGY,Q2,102/217,symbolic interaction,,
Asian Population Studies,ASIAN POPUL STUD,1744-1730,1744-1749,1.5,2.3,DEMOGRAPHY,Q2,23/49,asian population studies,,
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,ONDERSTEPOORT J VET,0030-2465,2219-0635,1.5,2.0,VETERINARY SCIENCES,Q2,66/167,onderstepoort journal of veterinary research,,ONDERSTEPOORT
Revista Latino-Americana de Enfermagem,REV LAT-AM ENFERM,1518-8345,1518-8345,1.5,2.0,NURSING,Q3,99/191,revista latino americana de enfermagem,,
Spatial Economic Analysis,SPAT ECON ANAL,1742-1772,1742-1780,1.5,2.0,ECONOMICS,Q2,287/597,spatial economic analysis,,
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,Z ENTWICKL PADAGOGIS,0049-8637,2190-6262,1.5,1.1,"PSYCHOLOGY, EDUCATIONAL",Q3,50/74,zeitschrift fur entwicklungspsychologie und padagogische psychologie,,
ANALES DE PEDIATRIA,AN PEDIATR,1695-4033,1695-9531,1.5,1.7,PEDIATRICS,Q2,86/186,anales de pediatria,,
Gland Surgery,GLAND SURG,2227-684X,2227-8575,1.5,2.1,SURGERY,Q3,153/290,gland surgery,,
JOURNAL OF AIRCRAFT,J AIRCRAFT,0021-8669,1533-3868,1.5,1.8,"ENGINEERING, AEROSPACE",Q2,19/52,journal of aircraft,,
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,J R STAT SOC A STAT,0964-1998,1467-985X,1.5,2.1,STATISTICS & PROBABILITY,Q2,43/168,journal of the royal statistical society series a statistics in society,,
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,OXFORD B ECON STAT,0305-9049,1468-0084,1.5,2.6,STATISTICS & PROBABILITY,Q2,43/168,oxford bulletin of economics and statistics,,OXFORD
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,0741-7136,1552-3047,1.5,2.1,EDUCATION & EDUCATIONAL RESEARCH,Q2,300/756,adult education quarterly,,ADULT
Communication Culture & Critique,COMMUN CULT CRIT,1753-9129,1753-9137,1.5,2.2,COMMUNICATION,Q2,91/227,communication culture and critique,,
Foot and Ankle Clinics,FOOT ANKLE CLIN,1083-7515,1558-1934,1.5,2.1,ORTHOPEDICS,Q3,76/136,foot and ankle clinics,,
JOURNAL OF PESTICIDE SCIENCE,J PESTIC SCI,1348-589X,1349-0923,1.5,2.4,ENTOMOLOGY,Q2,41/109,journal of pesticide science,,
BULLETIN OF GEOSCIENCES,B GEOSCI,1214-1119,1802-8225,1.5,1.3,PALEONTOLOGY,Q2,26/56,bulletin of geosciences,,
International Journal of Orthopaedic and Trauma Nursing,INT J ORTHOP TRAUMA,1878-1241,1878-1292,1.5,1.5,NURSING,Q3,99/191,international journal of orthopaedic and trauma nursing,,
Journal of Orthopaedics,J ORTHOP,0972-978X,0972-978X,1.5,1.7,ORTHOPEDICS,Q3,76/136,journal of orthopaedics,,
PEDIATRIC SURGERY INTERNATIONAL,PEDIATR SURG INT,0179-0358,1437-9813,1.5,1.8,SURGERY,Q3,153/290,pediatric surgery international,,
Popular Communication,POP COMMUN,1540-5702,1540-5710,1.5,1.9,COMMUNICATION,Q2,91/227,popular communication,,
Critical Discourse Studies,CRIT DISCOURSE STUD,1740-5904,1740-5912,1.5,2.3,COMMUNICATION,Q2,91/227,critical discourse studies,,
Forensic Science Medicine and Pathology,FORENSIC SCI MED PAT,1547-769X,1556-2891,1.5,1.8,PATHOLOGY,Q3,56/88,forensic science medicine and pathology,,
Annali di Igiene Medicina Preventiva e di Comunita,ANN IG MED PREV COMU,1120-9135,1120-9135,1.5,1.5,HEALTH CARE SCIENCES & SERVICES,Q3,120/174,annali di igiene medicina preventiva e di comunita,,
